"","n","nmiss","outlier_flag","mean","stdev","min","p1.1%","p5.5%","p10.10%","q1.25%","q2.50%","q3.75%","p90.90%","p95.95%","p99.99%","max","UC","LC"
"Sales_in_thousands",157,0,1,52.998076433121,68.0294219975051,0.11,0.93728,1.8708,5.4536,14.114,29.45,67.956,127.6416,185.3362,260.64532,540.561,257.086342425636,-151.090189559394
"X__year_resale_value",121,36,1,18.0729752066116,11.453384099225,5.16,6.173,7.85,9.125,11.26,14.18,19.875,32.075,41.25,60.22,67.55,52.4331275042866,-16.2871770910634
"Price_in_thousands",155,2,1,27.3907548387097,14.3516531892385,9.235,10.23144,12.469,13.9708,18.0175,22.799,31.9475,44.017,55.8349999999999,78.4798000000001,85.5,70.4457144064253,-15.664204729006
"Engine_size",156,1,1,3.06089743589744,1.04465297327583,1,1.555,1.8,1.95,2.3,3,3.575,4.6,4.775,5.7,8,6.19485635572492,-0.0730614839300485
"Horsepower",156,1,1,185.948717948718,56.7003208583736,55,96.4,114.5,120,149.5,177.5,215,254,300,325.75,450,356.049680523839,15.8477553735972
"Wheelbase",156,1,1,107.487179487179,7.64130302980996,92.6,92.875,95.875,98.65,103,107,112.2,115.5,119.25,134.375,138.7,130.411088576609,84.5632703977496
"Width",156,1,0,71.15,3.45187186245937,62.6,66.085,66.5,66.9,68.4,70.55,73.425,76.2,78.2,79.19,79.9,81.5056155873781,60.7943844126219
"Power_perf_factor",155,2,1,77.0435912007742,25.1426640991828,23.27627233,38.4619198118,46.203997397,48.447740824,60.407706775,72.03091719,89.41487752,108.49925242,125.09151289,141.11946063,188.144323,152.471583498323,1.61559890322579
"Length",156,1,0,187.34358974359,13.4317542845168,149.4,154.915,163.675,173,177.575,187.9,196.125,203.4,208.5,219.305,224.5,227.63885259714,147.048326890039
"Curb_weight",155,2,1,3.37802580645161,0.630501634429297,1.895,2.2454,2.4235,2.6062,2.971,3.342,3.7995,4.1186,4.3891,5.39668,5.572,5.2695307097395,1.48652090316372
"Fuel_capacity",156,1,1,17.9519230769231,3.88792126486463,10.3,11.9,12.5,13.2,15.8,17.2,19.575,23.2,25.4,30.9,32,29.615686871517,6.28815928232918
"Fuel_efficiency",154,3,1,23.8441558441558,4.28270556188518,15,15,16.65,18.3,21,24,26,28.7,31,33,45,36.6922725298114,10.9960391585003
